2025-01-04 14:11:02,635 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.1099, acc: 0.5000
2025-01-04 14:11:10,446 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.2466, acc: 0.0000
2025-01-04 14:11:18,263 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.6463, acc: 0.0000
2025-01-04 14:11:26,086 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.7637, acc: 0.0000
2025-01-04 14:11:33,919 - MyTrainer - INFO - epoch: 0, i: 35, loss: 1.9953, acc: 0.0000
2025-01-04 14:11:41,760 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.3473, acc: 0.0000
2025-01-04 14:11:49,626 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.4345, acc: 0.0000
2025-01-04 14:11:57,472 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.7216, acc: 0.0000
2025-01-04 14:12:05,339 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.5933, acc: 0.0000
2025-01-04 14:12:13,195 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.7246, acc: 0.0000
2025-01-04 14:12:35,999 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3796, acc: 0.0000
2025-01-04 14:13:06,950 - MyTrainer - INFO - epoch: 0, i: 5, loss: 2.2452, acc: 0.1250
2025-01-04 14:13:37,942 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.4421, acc: 0.1250
2025-01-04 14:14:09,030 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.3378, acc: 0.0000
2025-01-04 14:14:40,157 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.3072, acc: 0.1250
2025-01-04 14:15:11,280 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.2652, acc: 0.0000
2025-01-04 14:15:59,036 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3766, acc: 0.1250
2025-01-04 14:16:30,285 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3768, acc: 0.0000
2025-01-04 14:17:24,674 - MyTrainer - INFO - epoch: 0, i: 5, loss: 2.4032, acc: 0.0000
2025-01-04 14:18:19,202 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.4251, acc: 0.0000
2025-01-04 14:18:52,806 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.4122, acc: 0.0000
2025-01-04 14:19:39,558 - MyTrainer - INFO - epoch: 0, i: 5, loss: 2.3469, acc: 0.1667
2025-01-04 14:20:26,394 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.2915, acc: 0.1667
2025-01-04 14:21:13,288 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.0924, acc: 0.3333
2025-01-04 14:22:00,257 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.4032, acc: 0.1667
2025-01-04 14:22:47,191 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.2633, acc: 0.3333
2025-01-04 14:23:34,180 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.4128, acc: 0.0000
2025-01-04 14:24:21,188 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.2599, acc: 0.0833
2025-01-04 14:25:08,149 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.3937, acc: 0.0000
2025-01-04 14:25:55,261 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.4249, acc: 0.0000
2025-01-04 14:26:42,289 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.3175, acc: 0.0833
2025-01-04 14:27:29,307 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.2541, acc: 0.2500
2025-01-04 14:28:16,312 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.3851, acc: 0.0833
2025-01-04 14:29:03,311 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.2644, acc: 0.1667
2025-01-04 14:29:50,388 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.2860, acc: 0.0833
2025-01-04 14:30:37,456 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.4350, acc: 0.0000
2025-01-04 15:57:24,880 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.4514, acc: 0.0000
2025-01-04 15:58:04,857 - MyTrainer - INFO - epoch: 0, i: 5, loss: 2.2525, acc: 0.5000
2025-01-04 15:58:44,886 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.8121, acc: 0.0000
2025-01-04 15:59:24,933 - MyTrainer - INFO - epoch: 0, i: 15, loss: 3.2282, acc: 0.0000
2025-01-04 16:00:05,025 - MyTrainer - INFO - epoch: 0, i: 20, loss: 3.1162, acc: 0.0000
2025-01-04 16:00:45,234 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.1574, acc: 0.0000
2025-01-04 16:01:25,447 - MyTrainer - INFO - epoch: 0, i: 30, loss: 3.0670, acc: 0.0000
2025-01-04 16:02:05,658 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.7864, acc: 0.0000
2025-01-04 16:02:45,879 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.5131, acc: 0.0000
2025-01-04 16:03:26,081 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.1508, acc: 0.5000
2025-01-04 16:04:06,323 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.3475, acc: 0.0000
2025-01-04 16:04:46,533 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.9325, acc: 0.0000
2025-01-04 16:05:26,779 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.6575, acc: 0.0000
2025-01-04 16:06:07,116 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.2802, acc: 0.0000
2025-01-04 16:06:47,580 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.7602, acc: 0.0000
2025-01-04 16:07:28,016 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.4058, acc: 0.0000
2025-01-04 16:10:19,929 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3538, acc: 0.0333
2025-01-04 16:10:32,095 - MyTrainer - INFO - epoch: 0, i: 5, loss: 2.2765, acc: 0.1000
2025-01-04 16:10:44,502 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.2991, acc: 0.1333
2025-01-04 16:10:56,723 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.2980, acc: 0.1000
2025-01-04 16:11:08,988 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.2446, acc: 0.2000
2025-01-04 16:11:21,252 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.3775, acc: 0.1000
2025-01-04 16:11:33,517 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.3163, acc: 0.0333
2025-01-04 16:11:45,743 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.2841, acc: 0.1333
2025-01-04 16:11:58,040 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.4177, acc: 0.0333
2025-01-04 16:12:10,270 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.3071, acc: 0.1000
2025-01-04 16:12:22,446 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.2773, acc: 0.2333
2025-01-04 16:12:34,739 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.2214, acc: 0.2333
2025-01-04 16:12:47,009 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.3434, acc: 0.0667
2025-01-04 16:12:59,259 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.3127, acc: 0.1667
2025-01-04 16:13:11,629 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.3842, acc: 0.1000
2025-01-04 16:13:23,965 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.2695, acc: 0.0667
2025-01-04 16:13:36,286 - MyTrainer - INFO - epoch: 0, i: 80, loss: 2.3022, acc: 0.2333
2025-01-04 16:13:48,586 - MyTrainer - INFO - epoch: 0, i: 85, loss: 2.2438, acc: 0.2000
2025-01-04 16:14:08,133 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3587, acc: 0.0333
2025-01-04 16:14:20,498 - MyTrainer - INFO - epoch: 0, i: 5, loss: 3.7507, acc: 0.0333
2025-01-04 16:14:32,765 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.4631, acc: 0.1667
2025-01-04 16:14:45,016 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.4083, acc: 0.0667
2025-01-04 16:14:57,290 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.4318, acc: 0.1000
2025-01-04 16:15:09,568 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.4303, acc: 0.0333
2025-01-04 16:15:21,778 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.2909, acc: 0.1333
2025-01-04 16:15:34,042 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.4517, acc: 0.1000
2025-01-04 16:15:46,289 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.2803, acc: 0.1333
2025-01-04 16:15:58,537 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.3577, acc: 0.1667
2025-01-04 16:16:10,769 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.3997, acc: 0.1667
2025-01-04 16:16:23,098 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.4035, acc: 0.0667
2025-01-04 16:16:35,470 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.2923, acc: 0.2000
2025-01-04 16:16:47,765 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.3147, acc: 0.0000
2025-01-04 16:17:00,084 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.4500, acc: 0.1333
2025-01-04 16:17:12,432 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.4449, acc: 0.0667
2025-01-04 16:17:24,672 - MyTrainer - INFO - epoch: 0, i: 80, loss: 2.3532, acc: 0.0667
2025-01-04 16:17:36,985 - MyTrainer - INFO - epoch: 0, i: 85, loss: 2.5076, acc: 0.0333
2025-01-04 16:17:49,214 - MyTrainer - INFO - epoch: 0, i: 90, loss: 2.3376, acc: 0.1333
2025-01-04 16:18:01,452 - MyTrainer - INFO - epoch: 0, i: 95, loss: 2.3712, acc: 0.0667
2025-01-04 16:18:13,676 - MyTrainer - INFO - epoch: 0, i: 100, loss: 2.4154, acc: 0.0667
2025-01-04 16:18:26,003 - MyTrainer - INFO - epoch: 0, i: 105, loss: 2.3090, acc: 0.1667
2025-01-04 16:18:38,313 - MyTrainer - INFO - epoch: 0, i: 110, loss: 2.2814, acc: 0.1000
2025-01-04 16:18:50,558 - MyTrainer - INFO - epoch: 0, i: 115, loss: 2.3276, acc: 0.1333
2025-01-04 16:19:02,860 - MyTrainer - INFO - epoch: 0, i: 120, loss: 2.3860, acc: 0.1000
2025-01-04 16:19:15,153 - MyTrainer - INFO - epoch: 0, i: 125, loss: 2.6395, acc: 0.0333
2025-01-04 16:19:27,405 - MyTrainer - INFO - epoch: 0, i: 130, loss: 2.2775, acc: 0.1667
2025-01-04 16:19:39,666 - MyTrainer - INFO - epoch: 0, i: 135, loss: 2.3429, acc: 0.1667
2025-01-04 16:19:51,960 - MyTrainer - INFO - epoch: 0, i: 140, loss: 2.3310, acc: 0.1333
2025-01-04 16:20:04,280 - MyTrainer - INFO - epoch: 0, i: 145, loss: 2.3803, acc: 0.0667
2025-01-04 16:20:16,587 - MyTrainer - INFO - epoch: 0, i: 150, loss: 2.2910, acc: 0.1333
2025-01-04 16:20:28,834 - MyTrainer - INFO - epoch: 0, i: 155, loss: 2.4165, acc: 0.1000
2025-01-04 16:20:41,167 - MyTrainer - INFO - epoch: 0, i: 160, loss: 2.3590, acc: 0.1000
2025-01-04 16:20:53,380 - MyTrainer - INFO - epoch: 0, i: 165, loss: 2.2331, acc: 0.2000
2025-01-04 16:21:05,631 - MyTrainer - INFO - epoch: 0, i: 170, loss: 2.6456, acc: 0.0333
2025-01-04 16:21:17,876 - MyTrainer - INFO - epoch: 0, i: 175, loss: 2.3423, acc: 0.1000
2025-01-04 16:21:30,226 - MyTrainer - INFO - epoch: 0, i: 180, loss: 2.4309, acc: 0.2000
2025-01-04 16:21:42,535 - MyTrainer - INFO - epoch: 0, i: 185, loss: 2.3801, acc: 0.0667
2025-01-04 16:21:54,837 - MyTrainer - INFO - epoch: 0, i: 190, loss: 2.4645, acc: 0.1000
2025-01-04 16:22:07,131 - MyTrainer - INFO - epoch: 0, i: 195, loss: 2.4688, acc: 0.1667
2025-01-04 16:22:19,421 - MyTrainer - INFO - epoch: 0, i: 200, loss: 2.5456, acc: 0.0333
2025-01-04 16:22:31,746 - MyTrainer - INFO - epoch: 0, i: 205, loss: 2.4063, acc: 0.1000
2025-01-04 16:22:44,111 - MyTrainer - INFO - epoch: 0, i: 210, loss: 2.3973, acc: 0.1333
2025-01-04 16:22:56,433 - MyTrainer - INFO - epoch: 0, i: 215, loss: 2.3524, acc: 0.0667
2025-01-04 16:23:08,701 - MyTrainer - INFO - epoch: 0, i: 220, loss: 2.7073, acc: 0.0333
2025-01-04 16:23:21,034 - MyTrainer - INFO - epoch: 0, i: 225, loss: 2.2570, acc: 0.1667
2025-01-04 16:23:33,485 - MyTrainer - INFO - epoch: 0, i: 230, loss: 2.3907, acc: 0.0667
2025-01-04 16:23:45,786 - MyTrainer - INFO - epoch: 0, i: 235, loss: 2.3322, acc: 0.0667
2025-01-04 16:23:58,057 - MyTrainer - INFO - epoch: 0, i: 240, loss: 2.3798, acc: 0.0333
2025-01-04 16:24:10,344 - MyTrainer - INFO - epoch: 0, i: 245, loss: 2.3364, acc: 0.0333
2025-01-04 16:24:22,739 - MyTrainer - INFO - epoch: 0, i: 250, loss: 2.3765, acc: 0.0667
2025-01-04 16:24:34,964 - MyTrainer - INFO - epoch: 0, i: 255, loss: 2.3385, acc: 0.2000
2025-01-04 16:24:47,258 - MyTrainer - INFO - epoch: 0, i: 260, loss: 2.4958, acc: 0.0333
2025-01-04 16:24:59,559 - MyTrainer - INFO - epoch: 0, i: 265, loss: 2.2214, acc: 0.1667
